Radical,Monomer,DE_decomposition_tail,DE_decomposition_head,DE_precursor,DE_TS,DE_product,DE_barrier,DE_reaction,DG_precursor,DG_TS,DG_product,DG_barrier,DG_reaction,E_Rad_SOMO,E_Rad_LUMO,E_Mon_HOMO,E_Mon_LUMO,DE_SHgap,DE_SLgap,VBur_R228_Mon,VBur_R350_Mon,VBur_R228_Rad,VBur_R350_Rad,Real_theta,Volume_MonteCarlo_Mon,Volume_MonteCarlo_Rad,CCdist_TS
C=CC(=O)OCCCCCCCCCCCCCCCCCC,C=CC(=O)OC1C[C@@H]2CC[C@@]1(C)C2(C)C,0.0426183603940444,0.0579578210340514,-0.0115660721901349,6.915697804288357e-05,-0.0389700839641591,0.0116352291681778,-0.0274040117740241,0.0123868081709588,0.0246143618280711,-0.0095728352976038,0.0122275536571123,-0.0219596434685627,-0.233508089,0.0395391565,-0.274384883,-0.0517913845,0.040876794,0.1817167045,83.66330278231582,38.508125146185805,90.34206902801446,58.73488021117584,311.7707755417199,163.10889999999998,333.1813,2.2722492291777763
C=CC(=O)OCCCCCCCCCCCCCCCCCC,C=CC(=O)OCC(C)C,0.0426183603940444,0.0579578210340514,-0.0255664163639721,-0.0134375714008001,-0.0574478909718436,0.012128844963172,-0.0318814746078714,0.0021263538169478,0.0165473503011526,-0.0231000267990566,0.0144209964842048,-0.0252263806160044,-0.233508089,0.0395391565,-0.279075073,-0.0513626478,0.045566984,0.1821454412,83.66028208297358,38.50380918436675,90.34206902801446,58.73488021117584,138.03544844697922,108.8559,333.1813,2.297476234794606
C=CC(=O)OCCCCCCCCCCCCCCCCCC,C=CC(=O)OCCCCCCCC,0.0426183603940444,0.0579578210340514,-0.0219280694129793,-0.0099507588799951,-0.047864663250948,0.0119773105329841,-0.0259365938379687,0.00859731954597,0.022281478069317,-0.0117601951537835,0.0136841585233469,-0.0203575146997536,-0.233508089,0.0395391565,-0.278665764,-0.0512809256,0.0451576749999999,0.1822271634,83.66028208297358,38.51961117360748,90.34206902801446,58.73488021117584,139.24778204396114,168.1208,333.1813,2.288719633163704
C=CC(=O)OCCCCCCCCCCCCCCCCCC,C=CC(=O)O[C@@]12C[C@@H]3C[C@@H](C[C@@](O)(C3)C1)C2,0.0426183603940444,0.0579578210340514,-0.0184706878210363,-0.0076590306430261,-0.0433725795019199,0.0108116571780101,-0.0249018916808836,0.0041889571994033,0.0188043606895007,-0.0137267417374005,0.0146154034900973,-0.0179156989368038,-0.233508089,0.0395391565,-0.26420562,-0.0516724186,0.0306975309999999,0.1818356704,83.66556830682251,38.367995611641405,90.34206902801446,58.73488021117584,197.85467100004325,161.36190000000002,333.1813,2.284656102142509
C=CC(=O)OCCCCCCCCCCCCCCCCCC,C=CC(=O)OCCCCO,0.0426183603940444,0.0579578210340514,-0.0231395317921396,-0.0129989368590486,-0.0492857991312121,0.010140594933091,-0.0261462673390724,0.000135326233476,0.0143139097276616,-0.0160984306232876,0.0141785834941856,-0.0162337568567636,-0.233508089,0.0395391565,-0.270747312,-0.0501338597,0.037239223,0.1833742293,83.78639628051221,38.65716505351793,90.34206902801446,58.73488021117584,313.0758340770913,113.9009,333.1813,2.292267945982973
C=CC(=O)OCCCCCCCCCCCCCCCCCC,C=COCCOCCOC(=O)C=C,0.0426183603940444,0.0579578210340514,-0.0166703089721522,-0.0027622505999715,-0.0421182716661405,0.0139080583721806,-0.0254479626939883,0.0098619219470492,0.026974059824397,-0.0102261647800787,0.0171121378773477,-0.020088086727128,-0.233508089,0.0395391565,-0.213033088,-0.0585952877,-0.0204750009999999,0.1749128013,83.79394802886782,39.03627357072052,90.34206902801446,58.73488021117584,129.55641837215592,141.1965,333.1813,2.288130024632997
C=CC(=O)OCCCCCCCCCCCCCCCCCC,C=CC(=O)OC(C)(C)C,0.0426183603940444,0.0579578210340514,-0.0175805112810394,-0.0079469364950455,-0.0440241891260484,0.0096335747859939,-0.026443677845009,0.0052631520761678,0.0163282550395251,-0.0155275511140189,0.0110651029633572,-0.0207907031901868,-0.233508089,0.0395391565,-0.269193007,-0.0499029954,0.0356849179999999,0.1836050936,83.78689973040258,38.93937326665405,90.34206902801446,58.73488021117584,206.6813778300675,107.13309999999998,333.1813,2.283383757300994
C=CC(=O)OCCCCCCCCCCCCCCCCCC,C=CC(=O)OCCOC1CC2CC1C1CC=CC21,0.0426183603940444,0.0579578210340514,-0.0242269045049852,-0.0046836215999519,-0.042292648942066,0.0195432829050332,-0.0180657444370808,-0.0026151098957143,0.0195998616256929,-0.0122931181181229,0.0222149715214072,-0.0096780082224086,-0.233508089,0.0395391565,-0.237737778,-0.0555772235,0.004229689,0.1779308655,85.03545545852957,43.89757804929664,90.34206902801446,58.73488021117584,67.9410808732888,200.2861,333.1813,2.292695657462847
C=CC(=O)OCCCCCCCCCCCCCCCCCC,C=CC(=O)OCCOC,0.0426183603940444,0.0579578210340514,-0.0160661098491345,-0.0074406627611551,-0.0439620784300132,0.0086254470879794,-0.0278959685808786,0.0042716343803022,0.0168438962755317,-0.0157888899684621,0.0125722618952295,-0.0200605243487643,-0.233508089,0.0395391565,-0.255402995,-0.0571476277,0.021894906,0.1763604613,83.65726138363134,38.32950001670695,90.34206902801446,58.73488021117584,296.8297283096696,97.0513,333.1813,2.294803349663975
C=CC(=O)OCCCCCCCCCCCCCCCCCC,C=CC(=O)OCCCCCCCCCCCC,0.0426183603940444,0.0579578210340514,-0.0291729931150257,-0.0171906571299587,-0.0549959354880229,0.011982335985067,-0.0258229423729972,0.0035146019149578,0.0192435642386499,-0.0142821541792272,0.015728962323692,-0.0177967560941851,-0.233508089,0.0395391565,-0.278033054,-0.055094062,0.044524965,0.178414027,84.22011836106923,44.508565095842194,90.34206902801446,58.73488021117584,208.9070473226569,218.97510000000003,333.1813,2.2806603762818343
