Monomer,Radical,DE_tail,DE_head,DE_precursor,DE_TS,DE_product,DE_barrier,DE_reaction,E_Rad_SOMO,E_Rad_LUMO,E_Mon_HOMO,E_Mon_LUMO,DE_SHgap,DE_SLgap,VBur_R228_Rad,VBur_R350_Rad,VBur_R228_Mon,VBur_R350_Mon,Volume_Rad,Volume_Mon,CCdist_TS,Theta_TS,Sum_MW,logP_Rad,logP_Mon
C=C(C)C(=O)OCC1CCCO1,C=C(C)C(=O)OC,0.0385338000849628,0.061518378913945,-0.0167472908449326,-0.0027950885629479,-0.0352184484659119,0.0139522022819846,-0.0184711576209792,-0.214231645,0.0445721163,-0.253740925,-0.0482914585,0.03950928,0.1659401865,84.69990610659545,43.77847142554827,95.1832431738488,66.36034939799293,103.2494,133.29219999999998,2.2698738901350883,68.03917337700204,285.1701988980001,1.0,1.1
C=CC(=O)OCC1(CC)COC1,C=C(C)C(=O)OC,0.0385338000849628,0.061518378913945,-0.0132925327168322,-0.0021230719778486,-0.0341312996738452,0.0111694607389836,-0.0208387669570129,-0.214231645,0.0445721163,-0.246775707,-0.0554844531,0.032544062,0.1587471919,83.65902345824765,38.41985676575744,95.1832431738488,66.36034939799293,103.2494,134.9604,2.2468670062898695,213.13720581738792,285.1701988980001,1.0,1.3
C=Cc1ccc(OC(C)=O)cc1,C=C(C)C(=O)OC,0.0385338000849628,0.061518378913945,-0.016353990408902,-0.0025560709008232,-0.0393779178479007,0.0137979195080788,-0.0230239274389987,-0.214231645,0.0445721163,-0.225539183,-0.045912177,0.011307538,0.168319468,83.82163777283837,39.737478141741754,95.1832431738488,66.36034939799293,103.2494,123.3982,2.3078169021571013,173.13584991237883,277.1439841504,1.0,2.3
C=CC(N)=O,C=C(C)C(=O)OC,0.0385338000849628,0.061518378913945,-0.0160428898819873,-0.0025123625539436,-0.0279120265560095,0.0135305273280437,-0.0118691366740222,-0.214231645,0.0445721163,-0.254187721,-0.0383202423,0.0399560759999999,0.1759114027,83.69678220002568,38.51160576055601,95.1832431738488,66.36034939799293,103.2494,59.61039999999999,2.2214927852536457,122.65612716701968,186.1130183758,1.0,-0.3
C=CC(=O)NC(C)(C)CS(=O)(=O)O,C=C(C)C(=O)OC,0.0385338000849628,0.061518378913945,-0.018056319695006,-0.0026629796548149,-0.0326512193569215,0.0153933400401911,-0.0145948996619154,-0.214231645,0.0445721163,-0.254122358,-0.039866072,0.0398907129999999,0.174365573,83.70735464772353,38.57077620484947,95.1832431738488,66.36034939799293,103.2494,134.73200000000003,2.24774634655292,69.53437443640587,322.1324334906001,1.0,-0.6
C=CC(=O)O,C=C(C)C(=O)OC,0.0385338000849628,0.061518378913945,-0.0048419099339298,0.0085554538501355,-0.0229311109578702,0.0133973637840654,-0.0180892010239404,-0.214231645,0.0445721163,-0.283906156,-0.0561376549,0.069674511,0.1580939901,83.65902345824765,38.31961507189557,95.1832431738488,66.36034939799293,103.2494,54.34870000000001,2.2482370904599898,41.35087918417622,187.0970339584,1.0,0.4
C=CC(=O)OC,C=C(C)C(=O)OC,0.0385338000849628,0.061518378913945,-0.016882819944044,-0.0022866954620894,-0.0337994930540617,0.0145961244819545,-0.0169166731100176,-0.214231645,0.0445721163,-0.279762355,-0.0518258536,0.06553071,0.1624057914,83.65046481011129,38.31404608890324,95.1832431738488,66.36034939799293,103.2494,68.9229,2.257070031427027,166.42736901409648,201.1126840224,1.0,0.6
C=CC(=O)OCCCCCCCCCCCCCCCC(C)C,C=C(C)C(=O)OC,0.0385338000849628,0.061518378913945,-0.0204301101250621,-0.0039753518119596,-0.0400027858820521,0.0164547583131025,-0.01957267575699,-0.214231645,0.0445721163,-0.282330854,-0.0567160368,0.068099209,0.1575156082,86.63969853420565,47.82391989574864,95.1832431738488,66.36034939799293,103.2494,306.0592,2.254766510799289,160.6802467388884,439.3787351104,1.0,7.6
C=CC(=O)OCCCCCCC(C)C,C=C(C)C(=O)OC,0.0385338000849628,0.061518378913945,-0.0164450214369935,-0.0057280137169755,-0.0365044158520504,0.010717007720018,-0.0200593944150568,-0.214231645,0.0445721163,-0.278151061,-0.0518484347,0.0639194159999999,0.1623832103,83.6539889593439,38.328525444683294,95.1832431738488,66.36034939799293,103.2494,174.78910000000002,2.2535404537691353,183.95577721860585,313.23788453440017,1.0,3.9
C=CC(=O)OC1C[C@@H]2CC[C@@]1(C)C2(C)C,C=C(C)C(=O)OC,0.0385338000849628,0.061518378913945,-0.0161769786839158,-0.0067332549779166,-0.0364185252328752,0.0094437237059992,-0.0202415465489593,-0.214231645,0.0445721163,-0.274384883,-0.0517913845,0.060153238,0.1624402605,83.66330278231582,38.508125146185805,95.1832431738488,66.36034939799293,103.2494,163.10889999999998,2.247088797826201,287.10603985939883,323.22223447040017,1.0,3.3
